district_name,district_type,city,normed_2019,normed_2025,normed_diff,z_sort
16th and Valencia Streets Post-Fire Historic District,Historic District,San Francisco,0.005023397002235172,0.0029483434638366587,-0.002075053538398513,-3.723748704942409e-06
19th and Noe Historic District,Historic District,San Francisco,1.1278575580353205e-05,0.00036344533697741955,0.00035216676139706633,-4.855228326050565e-07
23rd Street Shops and Rowhouses Historic District,Historic District,San Francisco,0.000439864447633775,0.00031926745258928287,-0.00012059699504449211,-1.0767753337859176e-06
24th Street Commercial Corridor Historic District,Historic District,San Francisco,0.00225099652832784,0.0014497232541454234,-0.0008012732741824167,-4.838357654080028e-06
24th Street Victorian and Progressive Era Historic District,Historic District,San Francisco,7.883494155655046e-05,2.9436551358135615e-05,-4.939839019841484e-05,-3.477525751804933e-07
25th Street Historic District,Historic District,San Francisco,6.7901628493963174e-06,1.8246050371857426e-05,1.1455887522461109e-05,-3.197433215973433e-07
27th Street Historic District,Historic District,San Francisco,0.0004168469464493807,5.964168108071341e-05,-0.0003572052653686673,-9.817886166274548e-07
Alabama Street Pioneers Historic District,Historic District,San Francisco,0.0002872584147812408,0.00019706349264297576,-9.019492213826504e-05,-6.191612555994652e-07
Alamo Square Historic District,Historic District,San Francisco,0.003385644249212557,0.005043964603892004,0.0016583203546794469,-2.2754315978090744e-05
Alamo Square Historic District Extension,Historic District,San Francisco,0.0003581523184291752,0.0004291741587045151,7.102184027533986e-05,-1.9666526895889547e-06
Alert Alley Early Residential Historic District,Historic District,San Francisco,8.539492939410283e-05,0.00020671683690036958,0.00012132190750626675,-9.445316209166776e-07
Alphonso Harrington 42nd Avenue Historic District,Historic District,San Francisco,5.984550307942517e-06,1.690872401772803e-05,1.0924173709785511e-05,-6.419995770556852e-07
American Indian Cultural District,Arts District,San Francisco,0.016404458006611892,0.017847404145788556,0.0014429461391766638,-0.00010132539409823949
Aronson Historic District,Historic District,San Francisco,0.0005430979404457834,0.00041055919071772537,-0.00013253874972805803,-3.092845872743055e-07
Ashbury Heights Historic District,Historic District,San Francisco,0.00012774713157338833,0.00020287394507815864,7.512681350477031e-05,-3.596022452256875e-06
Auxiliary Water Supply System (Discontiguous),Historic District,San Francisco,0.0030366989312571395,0.0010729353967612876,-0.001963763534495852,-3.633371261457796e-05
Baker Street Historic District,Historic District,San Francisco,0.00024202902495390602,0.0004106053054195919,0.00016857628046568587,-3.345705863466719e-06
Baker Street Period Revival Bungalows Historic District,Historic District,San Francisco,7.365600379006175e-06,2.951340919457983e-06,-4.414259459548192e-06,-4.20153810409829e-07
Balboa Park Historic District,Historic District,San Francisco,0.0006568043962966912,0.0004766108153578866,-0.0001801935809388046,-1.1288690075161867e-05
Balboa Terrace Historic District,Historic District,San Francisco,0.0011921914738457025,0.001114192683364544,-7.799879048115852e-05,-2.4883600872271927e-05
Bayview,Business District,San Francisco,0.0015017768647758059,0.0010411162524733813,-0.0004606606123024246,-1.6854020032042172e-05
Bernal Heights North Historic District,Historic District,San Francisco,0.00048428822491965596,0.0006677408830273687,0.0001834526581077127,-7.902995093900245e-06
Bertz-Stelling Lawton Street Art Deco Historic District,Historic District,San Francisco,1.4270850734324464e-05,5.503021089406031e-06,-8.767829644918432e-06,-2.0652441889978945e-07
Blackstone Court Historic District,Historic District,San Francisco,5.8694628020205455e-06,1.0729353967612875e-05,4.85989116559233e-06,-1.9421577235334553e-07
Bluxome Townsend Historic District,Historic District,San Francisco,0.0010401033347698172,0.0005183753636816748,-0.0005217279710881424,-2.0994862097722944e-06
Bridges and Tunnels,Historic District,San Francisco,0.00010979348064956079,0.0001951113035972926,8.531782294773182e-05,-1.7295515135629103e-06
Brotherhood Way Historic District,Historic District,San Francisco,0.000238058505999598,0.000227914228191685,-1.0144277807913002e-05,-1.1170187008247012e-05
Buena Vista North Historic District,Historic District,San Francisco,0.0029876716537343795,0.007305152895215485,0.004317481241481106,-1.717208397167269e-05
Bush Street Cottage Row Historic District,Historic District,San Francisco,4.2639920944090434e-05,8.983143923600236e-05,4.719151829191193e-05,-7.455760169250425e-07
California Street Historic District,Historic District,San Francisco,3.153397662262018e-05,5.770486360231911e-05,2.6170886979698926e-05,-7.285161700565368e-07
California Street Neighborhood Commercial Shopping Center Historic District,Historic District,San Francisco,0.0008384124806415622,0.0005057553069375342,-0.00033265717370402803,-1.779266767698573e-06
Calle 24 Latino Cultural District,Arts District,San Francisco,0.010763789166364226,0.01968899476482847,0.008925205598464244,-9.156430633083801e-05
Capp and Howard Streets Mid-Block Fire Line Historic District,Historic District,San Francisco,0.0001577849706190229,9.172214201253013e-05,-6.606282860649278e-05,-4.813068699149881e-07
Castro & Liberty Streets Historic District,Historic District,San Francisco,7.975564160392624e-05,0.00014587617357112635,6.612053196720012e-05,-1.8139353414881043e-06
Castro LGBTQ Cultural District,Arts District,San Francisco,0.011558180675990634,0.014754214403389122,0.003196033727398488,-9.784688245417783e-05
Castro Street Historic District,Historic District,San Francisco,0.0024717919084391426,0.002035964087407343,-0.0004358278210317996,-4.074281605426222e-06
Castro/Upper Market,Business District,San Francisco,0.009700150436633366,0.009831485350704229,0.00013133491407086272,-2.853195792340557e-05
Central Embarcadero Piers Historic District,Historic District,San Francisco,0.0011568020657746962,0.0004997450241275963,-0.0006570570416470999,-2.468281309120357e-06
Chinatown Historic District,Historic District,San Francisco,0.020733704716878694,0.01305470318079999,-0.0076790015360787035,-1.6550434338569175e-05
Chula-Abbey Early Residential Historic District,Historic District,San Francisco,0.00016238847085590176,0.0003018360952837342,0.00013944762442783242,-1.714600330160465e-06
Civic Center,Business District,San Francisco,0.01798282560657877,0.027538393371472753,0.009555567764893982,-5.57609751012933e-05
Civic Center Cultural Landscape,Historic District,San Francisco,0.009655036134311953,0.01991179026111297,0.010256754126801017,-2.8921755529154325e-05
Civic Center Historic District,Historic District,San Francisco,0.0084049556449875,0.019183377801996537,0.010778422157009037,-2.6876325591729255e-05
Clipper Street Historic District,Historic District,San Francisco,7.400126630782766e-05,0.00022829851737390608,0.00015429725106607843,-2.306723217770923e-06
Clyde and Crooks Historic District,Historic District,San Francisco,0.0005846445300836151,0.00025307748384352204,-0.00033156704624009303,-1.714837253530277e-06
Cole Valley Historic District,Historic District,San Francisco,0.0021117406461622548,0.0021968890253542474,8.514837919199264e-05,-1.7881801795738284e-05
Commercial-Leidesdorff Conservation District,Historic District,San Francisco,0.0005458024968349498,0.0001610940251870816,-0.0003847084716478682,-1.0983044376189355e-06
Conservatory Valley Historic District,Historic District,San Francisco,0.0004095964335762965,0.00010056079320361524,-0.00030903564037268124,-9.227674127032515e-07
Cow Hollow First Bay Tradition Historic District,Historic District,San Francisco,0.0007317263626518947,0.001090090065855637,0.0003583637032037424,-1.8560472199169453e-05
Diamond & Elizabeth Streets Historic District,Historic District,San Francisco,0.0005234179769331263,0.001130117627075786,0.0006066996501426597,-1.2666185739362845e-05
Diamond Heights Historic District,Historic District,San Francisco,0.0010552373417985566,0.0009630286906460554,-9.220865115250115e-05,-1.5010924926173175e-05
Discover Polk,Business District,San Francisco,0.0022827606799623043,0.007478190628185997,0.005195429948223693,-1.2101122592866886e-05
Dogpatch & Northwest Potrero Hill Green Benefit District,Infrastructure District,San Francisco,0.008226052117031795,0.0066266980297877915,-0.0015993540872440036,-9.410006032339879e-05
Dogpatch Historic District,Historic District,San Francisco,0.002803991994282913,0.0021470082895019495,-0.0006569837047809635,-1.024506991598173e-05
Dorland Street Bungalows Historic District,Historic District,San Francisco,4.603500236878859e-06,1.0022261872326068e-05,5.418761635447209e-06,-1.0898202162934467e-07
Downtown,Business District,San Francisco,0.04194859029601715,0.015290267069452967,-0.026658323226564182,-5.4474184707942186e-05
Duboce Park Historic District,Historic District,San Francisco,0.0009620164620017595,0.0010660489346158858,0.00010403247261412622,-2.857653726096032e-06
Duboce Triangle Historic District,Historic District,San Francisco,0.001799508242595946,0.001718080075874056,-8.142816672188991e-05,-1.0008366643887712e-05
Duboce Triangle Historic District Extension,Historic District,San Francisco,0.0007472631759513608,0.0007677636713758744,2.05004954245136e-05,-9.727437827677932e-06
East Cut (Greater Rincon Hill),Business District,San Francisco,0.025128723936779902,0.01340219283093159,-0.011726531105848313,-6.002023565088166e-05
East Fort Miley Historic District,Historic District,San Francisco,1.0012613015211518e-05,1.028357851623641e-05,2.7096550102489317e-07,-5.001868430554168e-06
East Mission Florida-to-Hampshire Streets Historic District,Historic District,San Francisco,0.0006347075951596727,0.0003614777763644476,-0.00027322981879522514,-3.485988145257579e-06
Elgin Park-Pearl Street Reconstruction Historic District,Historic District,San Francisco,9.862999257512956e-05,0.00018535035836887687,8.672036579374731e-05,-1.0603812370391097e-06
Eureka Valley Commercial & Castro Village LGBTQ+ Historic District,Historic District,San Francisco,0.002763481192198379,0.0022039599463071153,-0.0005595212458912638,-4.545137926470488e-06
Excelsior,Business District,San Francisco,0.002724063721420104,0.002227785875604823,-0.0004962778458152809,-1.4991847820056137e-05
Fair Oaks Street Historic District,Historic District,San Francisco,0.00022131327388795114,0.00025307748384352204,3.17642099555709e-05,-3.059562914131675e-06
Fernando Nelson Mission Revival Rowhouse Historic District,Historic District,San Francisco,3.4526251776591445e-06,7.821053436563655e-05,7.47579091879774e-05,-7.214466677396558e-07
Fillmore-Union Commercial Development Historic District,Historic District,San Francisco,0.0008165458545163877,0.0006823438719517702,-0.00013420198256461748,-1.9504668671288528e-06
Fisherman's Wharf,Business District,San Francisco,0.01321578602378479,0.006247681295146773,-0.006968104728638017,-3.07853838421579e-05
Forest Hill Historic District,Historic District,San Francisco,0.001755544815333753,0.003438281428033973,0.00168273661270022,-5.980148671369534e-05
Fort Mason Historic District,Historic District,San Francisco,0.0002226943239590148,0.00010237463814369879,-0.00012031968581531602,-3.4774188861774746e-06
Fort Mason Historic District (Boundary Increase),Historic District,San Francisco,0.004361528755677914,0.0018389620810335227,-0.0025225666746443915,-2.8996033051953418e-05
Front-California Conservation District,Historic District,San Francisco,0.0008738594324655295,0.00023481606190437577,-0.0006390433705611538,-1.4075221770326607e-06
Gardner Dailey/Telegraph Hill Historic District,Historic District,San Francisco,1.1508750592197148e-05,1.2727657715162553e-05,1.2189071229654046e-06,-2.5688723326311447e-07
Glen Park Center Historic District,Historic District,San Francisco,0.00020589154809440698,0.00011038322470118634,-9.550832339322063e-05,-5.027500264986884e-07
Glen Park Historic District,Historic District,San Francisco,0.00021699749241587722,0.00011676242512605646,-0.00010023506728982076,-5.68971699976828e-07
Golden Gate Park Historic District,Historic District,San Francisco,0.01749583282526995,0.02067853940904778,0.003182706583777832,-0.000440635595623462
Gottlieb Knopf Block Historic District,Historic District,San Francisco,5.1559202653043224e-05,0.0001037888223342724,5.222961968122918e-05,-1.197137862618547e-06
Guerrero Street Fire Line Historic District,Historic District,San Francisco,7.112407865977838e-05,0.00014742870186729956,7.630462320752119e-05,-5.480424078996293e-07
H.C. Baumann Noriega Street Historic District,Historic District,San Francisco,6.611777215217261e-05,6.818827249331049e-05,2.0705003411378777e-06,-2.7322585083311424e-07
Haight Ashbury Historic District,Historic District,San Francisco,0.005345124125040043,0.002714434324402325,-0.0026306898006377183,-8.14645227364963e-06
Hampshire Street False-Front Historic District,Historic District,San Francisco,2.877187648049287e-05,8.002437930572011e-05,5.1252502825227246e-05,-4.801468094228767e-07
Hartford Street Historic District,Historic District,San Francisco,0.0004929197878638038,0.00026331494765789194,-0.00022960484020591185,-1.2411978786985856e-06
Hayes Valley Commercial Historic District,Historic District,San Francisco,0.003170890963162158,0.0020782051543170857,-0.0010926858088450724,-5.466435140988324e-06
