district_name,district_type,city,normed_2019,normed_2025,normed_diff,z_sort
14th Street/U Street/Adams Morgan/Mt. Pleasant,Infrastructure District,Washington,0.025208295818929437,0.038025716858125905,0.012817421039196468,-0.0003008396058703511
2.1,Tax District,Washington,0.003555422126285974,0.003938331888671047,0.00038290976238507333,-5.213603731135663e-05
2.2,Tax District,Washington,0.0036850276309779093,0.003701522584409679,1.6494953431769876e-05,-0.00012740570900859893
20.1,Tax District,Washington,0.0012278561875987354,0.0015807185034394833,0.0003528623158407479,-6.517681345030724e-05
21.1,Tax District,Washington,0.0026927103293323167,0.014311799831115383,0.011619089501783066,-6.221779744919331e-05
22.2,Tax District,Washington,0.00129630661039896,0.0028293306213178827,0.0015330240109189227,-7.499502771679545e-05
23.2,Tax District,Washington,0.0061532427111116944,0.0033800358797822345,-0.00277320683132946,-0.00021260606445139274
25.2,Tax District,Washington,0.0036666634969668237,0.0038926473625727617,0.00022598386560593797,-6.280966340455052e-05
27.1,Tax District,Washington,0.0014443014054499417,0.0020379396171132627,0.000593638211663321,-4.690110085903143e-05
27.2,Tax District,Washington,0.002245581400684323,0.0025827270381107775,0.00033714563742645457,-5.0711135372694116e-05
28.1,Tax District,Washington,0.0016277918074730352,0.0019534464582623436,0.0003256546507893084,-1.786098005140957e-05
28.2,Tax District,Washington,0.003911007104706103,0.003010078917347333,-0.0009009281873587705,-2.381834451625764e-05
29,Tax District,Washington,0.0020363560546977494,0.00624125502254346,0.004204898967845711,-3.138703891636396e-05
3.1,Tax District,Washington,0.0015780325512073814,0.00394095548784688,0.002362922936639499,-0.0001093130269964604
30,Tax District,Washington,0.0015858058627271424,0.0031806644514007325,0.0015948585886735901,-2.1781090708827833e-05
31,Tax District,Washington,0.0017802644324609665,0.0030054286615047747,0.0012251642290438082,-3.062466635128658e-05
32,Tax District,Washington,0.002115221205553576,0.003391952620982578,0.001276731415429002,-4.594369283950073e-05
33.1,Tax District,Washington,0.000987587908229039,0.0014038098005859012,0.00041622189235686227,-4.566753204926499e-05
33.2,Tax District,Washington,0.0007483510391257183,0.0010824704891705822,0.0003341194500448639,-2.062969906546641e-05
34,Tax District,Washington,0.003952766642320353,0.005044097875018058,0.001091331232697705,-0.00011147441000503022
35,Tax District,Washington,0.0025206912219791614,0.003552692288465997,0.0010320010664868354,-3.9666500242674374e-05
36,Tax District,Washington,0.001644621404258537,0.002097508583793767,0.0004528871795352299,-3.173674190293241e-05
37,Tax District,Washington,0.001606811413274069,0.005713410451279767,0.004106599038005698,-3.043315973627614e-05
38,Tax District,Washington,0.003098859567152833,0.005389248559852245,0.0022903889926994122,-3.696176304401888e-05
39,Tax District,Washington,0.0013733605042016385,0.0013211737962077628,-5.218670799387562e-05,-4.147599793213885e-05
42.2,Tax District,Washington,0.0016419548313747355,0.0014758187543697941,-0.00016613607700494137,-2.164611578336917e-05
43,Tax District,Washington,0.002230261184776445,0.0021524494036135318,-7.781178116291311e-05,-2.457946334288863e-05
45,Tax District,Washington,0.002065411636592001,0.0022508343727072754,0.0001854227361152744,-2.272617371090746e-05
46,Tax District,Washington,0.001800666230656844,0.0022568774944044193,0.0004562112637475754,-4.540716531664657e-05
47,Tax District,Washington,0.007095901381883475,0.006961344560382389,-0.000134556821501086,-6.706008480250603e-05
48.1,Tax District,Washington,0.0015679951683711852,0.007327366124053541,0.005759370955682356,-3.294578164059203e-05
48.2,Tax District,Washington,0.001644495622518735,0.001910046526952002,0.000265550904433267,-2.9921704708613106e-05
49.1,Tax District,Washington,0.002121459979847753,0.002047557024204449,-7.39029556433039e-05,-2.8236119305802276e-05
49.2,Tax District,Washington,0.005217502036029022,0.0029418874477574893,-0.002275614588271533,-2.740421291491657e-05
50,Tax District,Washington,0.0029526005601111186,0.004473678774431927,0.001521078214320808,-4.551569804789324e-05
51,Tax District,Washington,0.008433313464849714,0.0057468908194140645,-0.0026864226454356493,-4.085355089955556e-05
52.1,Tax District,Washington,0.0039567916579940155,0.004873482862322234,0.0009166912043282183,-3.5271571277917246e-05
52.2,Tax District,Washington,0.004122722929140756,0.002358180849098247,-0.001764542080042509,-1.9255756569691584e-05
53.1,Tax District,Washington,0.002473900414772834,0.004474128323728909,0.002000227908956075,-2.9762244821540662e-05
54.1,Tax District,Washington,0.0055500186433694735,0.0037304779809317254,-0.001819540662437748,-3.100377307418967e-05
55.1,Tax District,Washington,0.003221924421375067,0.003299161224288995,7.723680291392811e-05,-3.515671483000915e-05
55.2,Tax District,Washington,0.004130320146224794,0.003945782615543989,-0.0001845375306808051,-3.0604988751292694e-05
56,Tax District,Washington,0.00451581602236983,0.004468814798431787,-4.7001223938043096e-05,-5.715703014175233e-05
57.1,Tax District,Washington,0.006261163443861773,0.008675601314007539,0.0024144378701457655,-4.10145228215697e-05
58,Tax District,Washington,0.02940206027471034,0.01625966745629878,-0.01314239281841156,-9.509806454843783e-05
59,Tax District,Washington,0.008670210793592719,0.006341865629140298,-0.0023283451644524203,-6.685605262646277e-05
60.2,Tax District,Washington,0.0010330202726455055,0.0020676319796959367,0.0010346117070504312,-1.73570854258287e-05
62.2,Tax District,Washington,0.0308836937005335,0.020776591399168313,-0.010107102301365186,-0.0012047203958900354
64.1,Tax District,Washington,0.0025984494935247307,0.002795666011668428,0.00019721651814369728,-0.00010002866952163458
68.1,Tax District,Washington,0.0008186881880229722,0.0012535129421815709,0.00043482475415859863,-2.5388892709088395e-05
68.2,Tax District,Washington,0.0006500400312965094,0.000926425295493359,0.0002763852641968496,-2.9349641636144952e-05
69,Tax District,Washington,0.00129630661039896,0.002346109345025172,0.001049802734626212,-4.2596426737873117e-05
7.2,Tax District,Washington,0.0007969531033851942,0.0011444124865663064,0.0003474593831811122,-3.169901901856065e-05
71,Tax District,Washington,0.0020869706267940564,0.0032845545569673623,0.001197583930173306,-7.712031697337807e-05
72,Tax District,Washington,0.015558974806370331,0.010872305529561739,-0.004686669276808593,-0.0001694456186669413
73.2,Tax District,Washington,0.0027445827188266434,0.003515504981046744,0.0007709222622201005,-0.00011971957633249986
73.4,Tax District,Washington,0.003296009866118419,0.004422135368151654,0.0011261255020332348,-0.00012934095821037772
73.8,Tax District,Washington,0.0012420946805443169,0.001065512900115548,-0.0001765817804287688,-0.0004867466934683762
74.1,Tax District,Washington,0.0022246513191812776,0.00271919841321774,0.0004945470940364623,-0.00014824400568613783
74.3,Tax District,Washington,0.0015188899771525018,0.002667817139470805,0.0011489271623183032,-3.3966424325626576e-05
74.4,Tax District,Washington,0.0019794523956113445,0.004158360475731932,0.0021789080801205875,-8.400757201343367e-05
74.6,Tax District,Washington,0.0013538643345323352,0.0027876920388924405,0.0014338277043601053,-3.8075897236922174e-05
74.7,Tax District,Washington,0.0016495017357628528,0.0030772165254704794,0.0014277147897076266,-6.416368614736712e-05
74.8,Tax District,Washington,0.0015500586922754264,0.002965448252715744,0.0014153895604403176,-3.902034154634748e-05
74.9,Tax District,Washington,0.0017657492196878207,0.0031183171226716634,0.0013525679029838427,-4.283078169464716e-05
75.2,Tax District,Washington,0.0031685174946551567,0.005200268352925588,0.0020317508582704314,-6.677817873423919e-05
75.3,Tax District,Washington,0.002394708231393522,0.003170332187230738,0.0007756239558372158,-5.154424525244394e-05
75.4,Tax District,Washington,0.0013171863792060849,0.007145998776533164,0.005828812397327079,-7.988730703800684e-05
76.1,Tax District,Washington,0.0028251585013437767,0.0055301417313229715,0.0027049832299791948,-0.0001310474169713416
76.3,Tax District,Washington,0.0021971302745126095,0.0032649144114516447,0.0010677841369390352,-0.00012809901090804487
76.4,Tax District,Washington,0.0019638303035279412,0.0042131833809819965,0.0022493530774540553,-0.0001419388104295649
76.5,Tax District,Washington,0.0017998612275221112,0.0032863601238158993,0.001486498896293788,-4.7100035999392276e-05
77.3,Tax District,Washington,0.0024329207239453567,0.012531857292506525,0.010098936568561168,-0.00010499759787307994
77.7,Tax District,Washington,0.0021695086044521,0.003464786976754373,0.0012952783723022732,-8.80056918504124e-05
77.8,Tax District,Washington,0.001403497809058187,0.002730518211908975,0.001327020402850788,-8.936167432693765e-05
77.9,Tax District,Washington,0.0011806377224770812,0.0022807994127323813,0.0011001616902553,-9.478300103182846e-05
78.3,Tax District,Washington,0.003745654429562452,0.005593211286791455,0.0018475568572290028,-0.00010473642919350823
78.4,Tax District,Washington,0.0022288272729427024,0.003510928421810248,0.0012821011488675458,-8.85400588686025e-05
78.6,Tax District,Washington,0.0016618283462634445,0.0031289810215689405,0.001467152675305496,-7.322687861233135e-05
78.7,Tax District,Washington,0.0013343430085150717,0.0019621131791353204,0.0006277701706202488,-5.4269603879220085e-05
78.8,Tax District,Washington,0.0018982728607431618,0.002827908276820872,0.0009296354160777101,-0.00010121549621544546
